image_name,dice_unet,dice_attn,delta_dice
1684,0.9438368657775189,0.9641185169293508,0.020281651151831892
1015,0.9591175563097836,0.9709791473108308,0.011861591001047223
1014,0.9473240623683153,0.9576367855878577,0.010312723219542352
1642,0.9688265123188067,0.9789074951874336,0.010080982868626909
1412,0.9336558925755334,0.943681968764798,0.010026076189264654
1215,0.8850727216706249,0.8950744342680959,0.010001712597470958
1649,0.9737260019811653,0.9834651785855845,0.009739176604419142
1344,0.9687747413845632,0.9781407471763702,0.00936600579180702
1544,0.9562787507061621,0.9654933805497079,0.009214629843545818
1561,0.9704687484326584,0.9796761970375484,0.009207448604889978
1612,0.927537167670192,0.9361039466640816,0.008566778993889579
1504,0.9628978257187919,0.9711452587339131,0.008247433015121208
1390,0.9657010476249087,0.9739368429782937,0.008235795353385034
1131,0.9646384855270593,0.9723620003460826,0.007723514819023225
1129,0.9501571278925864,0.9577483620804961,0.0075912341879096346
1480,0.950090906224717,0.9575842755553735,0.007493369330656474
1428,0.962073032051556,0.9695545890345757,0.007481556983019666
1132,0.9670626749036415,0.9745372824220351,0.007474607518393572
1643,0.9676113707499063,0.9749747349308872,0.007363364180980825
1439,0.9606659464955237,0.9680155826188295,0.007349636123305747
1423,0.9698641765704603,0.9768982290318136,0.007034052461353246
1277,0.9549892971292893,0.9616226556491252,0.00663335851983593
1011,0.9641162765039191,0.9706249716863318,0.006508695182412705
1358,0.9464307413327401,0.9529388645062321,0.006508123173492031
1472,0.9486009523154451,0.9550975340449059,0.006496581729460882
1266,0.9361239793367815,0.9426167098128311,0.006492730476049591
1226,0.9654625954835191,0.9716179184609381,0.006155322977419053
1595,0.9627950393385811,0.9688533199210075,0.006058280582426412
1231,0.9605992830662734,0.9665714197929174,0.005972136726643984
1272,0.9372341121801248,0.9430354744410283,0.005801362260903553
1477,0.958961439160494,0.964758679263092,0.005797240102597967
1097,0.9682178674835326,0.9739724175229876,0.00575455003945502
1172,0.9664835057392629,0.9719960668633263,0.005512561124063398
1177,0.9663930482452967,0.9718268482204518,0.00543379997515514
1555,0.9610381472755551,0.9664591434799837,0.005420996204428596
1337,0.9614895982213804,0.9669102075391827,0.005420609317802305
1638,0.9722741013150574,0.9775939198614674,0.005319818546409949
1345,0.9697225596487031,0.974948105864039,0.005225546215335886
1222,0.9520356024394316,0.9571403477955431,0.005104745356111495
1119,0.9632116309299972,0.9682329499596469,0.005021319029649751
1200,0.9599815458529904,0.9648577154308645,0.004876169577874068
1380,0.9730821819962885,0.9779432945146312,0.004861112518342758
1471,0.9437581553055971,0.9485561803106882,0.004798025005091078
1466,0.9718363371350037,0.9765068094194674,0.004670472284463711
1096,0.9686133005422642,0.9731920325829282,0.0045787320406639465
1389,0.9700191204588933,0.9745892154593864,0.004570095000493102
1529,0.9618049510810932,0.9663426522494281,0.004537701168334851
1109,0.9668901293590835,0.971393780945306,0.004503651586222568
1381,0.9180694030817085,0.9225494325115321,0.004480029429823618
1283,0.9655004985477118,0.9699652339087046,0.004464735360992789
1378,0.9564560973422256,0.9608761101911816,0.00442001284895599
1121,0.9632912983367579,0.9676299123432481,0.004338614006490271
1630,0.9318937274314355,0.9362070624458847,0.004313335014449193
1158,0.9743354210160073,0.9786025136650086,0.0042670926490012695
1251,0.9362750655691906,0.9405261122443607,0.004251046675170067
1582,0.9725827710517381,0.9766246438808514,0.00404187282911328
1098,0.9637848248921715,0.9677981168701613,0.004013291977989719
1154,0.9626644372512478,0.9666374012291508,0.003972963977902921
1352,0.9745624841309422,0.9784303337622059,0.0038678496312637423
1237,0.9639852801175829,0.9677894760347021,0.003804195917119224
1130,0.9641614976519078,0.9678967704775111,0.003735272825603264
1162,0.9535608745544512,0.9572133789012431,0.003652504346791985
1635,0.9816028792699009,0.9852246052927759,0.003621726022875027
1624,0.9667023483606977,0.9703231939163526,0.0036208455556548946
1285,0.9728131338309529,0.9764217318186514,0.0036085979876985252
1228,0.9614272172666098,0.9650237955538199,0.0035965782872100505
1021,0.9545749814402429,0.958170947485289,0.003595966045046084
1170,0.9688413955750406,0.9723994916047914,0.003558096029750879
1339,0.9145316901701127,0.9180796389921934,0.0035479488220806488
1068,0.9687239668224158,0.9722194400182134,0.0034954731957975715
1035,0.9745278114711511,0.9780143445114028,0.0034865330402517047
1546,0.9624962761086204,0.9659420849847136,0.003445808876093137
1535,0.9629660691197566,0.9664041443522723,0.003438075232515714
1513,0.9707185265518463,0.9741522058959333,0.003433679344087004
1392,0.9792761005558592,0.9826956425487964,0.0034195419929371473
1598,0.981074955480008,0.9844934107170488,0.003418455237040763
1550,0.9563387344727554,0.9597160896298469,0.0033773551570914773
1622,0.9619392049044808,0.9652637978788107,0.003324592974329854
1007,0.9713054021285219,0.9745874923609718,0.0032820902324498524
1640,0.8790932313261519,0.8823307798568526,0.0032375485307006846
1431,0.922862891143364,0.926074119835933,0.003211228692569068
1496,0.9767284476171777,0.9799324892671054,0.0032040416499277136
1255,0.9706426347797648,0.9737983901878134,0.0031557554080486883
1465,0.9455535390199692,0.9486102739929108,0.003056734972941566
1671,0.9782367802845637,0.9812933412048761,0.003056560920312368
1369,0.9618596518698321,0.9649090861795409,0.0030494343097087206
1608,0.9747823047880653,0.9778000875988574,0.0030177828107921245
1320,0.96341296928328,0.9662980618943453,0.0028850926110652875
1600,0.9450922619790803,0.9479087674269424,0.002816505447862161
1282,0.9569200178271482,0.959718886944255,0.002798869117106806
1204,0.9659586525693541,0.9687571240318285,0.002798471462474361
1538,0.9688697196498814,0.9715989449944592,0.002729225344577757
1269,0.968479467258604,0.971168895138676,0.0026894278800719817
1387,0.9714014164743888,0.9740775953905558,0.0026761789161670047
1438,0.965316851378235,0.9679296956002569,0.002612844222021904
1037,0.8783117760376349,0.8809149642046521,0.002603188167017212
1650,0.9712308839175234,0.9737150292778158,0.0024841453602924
1191,0.9737004242434935,0.9761165237551678,0.002416099511674319
1541,0.9689355393299899,0.9713404464665798,0.0024049071365899177
1603,0.9810472462307677,0.9834431663092233,0.0023959200784556822
1022,0.9629175808254367,0.9652337814386451,0.0023162006132084745
1090,0.9620340238643303,0.964345426076805,0.0023114022124746114
1120,0.9247478795164692,0.9269991128073849,0.0022512332909156996
1563,0.9738870536416572,0.9761374146663752,0.002250361024717984
1335,0.9772396477694512,0.9794494978466152,0.0022098500771640106
1082,0.9659270051391224,0.9681198397729945,0.0021928346338720983
1690,0.9393145061575788,0.9415003928285822,0.0021858866710033897
1621,0.9588751705082048,0.9610001971109199,0.0021250266027150744
1433,0.9761255189518533,0.9782413662649312,0.002115847313077901
1604,0.9421907516013159,0.9442456768038239,0.00205492520250794
1329,0.9783424217813369,0.9803294728531234,0.0019870510717865386
1588,0.9777124933733887,0.9796617687829232,0.00194927540953449
1019,0.972004181653882,0.9739475392921653,0.0019433576382832385
1205,0.9603845189932368,0.9622643202641981,0.0018798012709612122
1284,0.9682757735267705,0.9701364693153368,0.0018606957885662911
1637,0.9768292046028257,0.9786724890829713,0.0018432844801455905
